province_folder,year,ppt_annual,ppt_std,tmax_annual,tmax_max,tmin_annual,tmean_annual,province
nusa_tenggara_timur,2024,377.41161874423665,145.8190119672671,30.88466098555021,36.099999999999994,22.190857725083365,26.537759355316787,Nusa Tenggara Timur
nusa_tenggara_timur,2025,434.8223572805768,135.09976825701378,30.711044213906387,35.80000000000001,21.86897925157466,26.290011732740524,Nusa Tenggara Timur
p_a_p_u_a,2021,706.8203248330298,57.307297140480806,31.877186400937862,34.900000000000006,23.267624071903093,27.57240523642048,Papua
p_a_p_u_a,2022,606.5586318558996,69.15883961428581,32.05374951152794,34.900000000000006,23.19083040250098,27.62228995701446,Papua
p_a_p_u_a,2023,691.5553734061932,59.1439016826099,31.890818679171552,34.80000000000001,23.373284486127396,27.632051582649474,Papua
p_a_p_u_a,2024,756.250561627201,60.21799075086198,31.915736615865566,34.30000000000001,23.61207112153185,27.76390386869871,Papua
p_a_p_u_a,2025,769.2894252175674,55.14050438165339,31.046027745212978,34.599999999999994,22.962272372020326,27.004150058616652,Papua
papua_barat,2021,1388.5258245877062,58.50196058788348,30.143256561884016,33.5,23.009093266936407,26.57617491441021,Papua Barat
papua_barat,2022,1356.0316341829084,76.86738236480896,30.28645865753709,33.80000000000001,22.94899626517274,26.617727461354917,Papua Barat
papua_barat,2023,1092.404147926037,71.75911923989432,30.46706089843345,34.0,23.094019089117133,26.780539993775292,Papua Barat
papua_barat,2024,1398.73075962019,85.22345830320741,30.416236124079262,34.19999999999999,23.437257495590835,26.92674680983505,Papua Barat
papua_barat,2025,1457.4021989005498,41.294140012226464,29.712078535117747,33.30000000000001,22.877616972715014,26.29484775391638,Papua Barat
papua_barat_daya,2021,1088.651314020291,105.5200792746619,30.141825855175476,32.900000000000006,23.483873833851625,26.81284984451355,Papua Barat Daya
papua_barat_daya,2022,1121.9180662510696,152.680531871289,30.220638975270255,33.099999999999994,23.3876869539464,26.804162964608327,Papua Barat Daya
papua_barat_daya,2023,801.1637941571935,78.933454223009,30.34422108692433,33.400000000000006,23.72260476825115,27.03341292758774,Papua Barat Daya
papua_barat_daya,2024,1157.947475858697,129.55623771608748,30.407792832815037,33.30000000000001,23.97648082333778,27.192136828076407,Papua Barat Daya
papua_barat_daya,2025,1292.3083730595283,146.4551109096302,30.08566563009033,33.0,23.500844069302534,26.79325484969643,Papua Barat Daya
papua_pegunungan,2021,2290.91465892598,49.64572074966879,26.50168521360962,34.900000000000006,16.920382450754673,21.711033832182146,Papua Pegunungan
papua_pegunungan,2022,1969.3546927914854,49.059864485367875,26.63207661806089,34.80000000000001,16.748273215656184,21.69017491685854,Papua Pegunungan
papua_pegunungan,2023,2148.2590227382684,40.34985166513095,26.484001662829368,34.69999999999999,17.02310693271937,21.753554297774368,Papua Pegunungan
papua_pegunungan,2024,2394.3622641509437,59.59443887471961,26.627798030186746,34.69999999999999,17.401496546431318,22.014647288309032,Papua Pegunungan
papua_pegunungan,2025,2316.8475084663764,45.43147468981528,25.84854822205168,34.599999999999994,16.700329368124844,21.274438795088262,Papua Pegunungan
papua_selatan,2021,2277.3119601328904,53.564558765738276,31.946509934909216,34.19999999999999,23.695045392257626,27.82077766358342,Papua Selatan
papua_selatan,2022,2202.0801183554818,42.48279082857222,32.180328594267436,34.69999999999999,23.696237295877587,27.938282945072512,Papua Selatan
papua_selatan,2023,1723.6587001661128,107.98939972070343,32.22748372730387,35.400000000000006,23.60319601461688,27.915339870960374,Papua Selatan
papua_selatan,2024,2086.722819767442,108.72543316482182,32.24592468882037,34.80000000000001,24.057939362795477,28.151932025807923,Papua Selatan
papua_selatan,2025,2616.5058243355484,77.58776410286978,31.81551758593126,34.400000000000006,23.63928571428572,27.72740165010849,Papua Selatan
papua_tengah,2021,1883.71262166405,50.326908146368005,27.41105008077545,34.599999999999994,18.43948303715671,22.92526655896608,Papua Tengah
papua_tengah,2022,1877.2137362637363,98.82549925345454,27.484690360796986,34.19999999999999,18.29806946688207,22.89137991383953,Papua Tengah
papua_tengah,2023,1606.509591836735,42.12948776695608,27.58950457727518,34.80000000000001,18.464030694668825,23.026767635972,Papua Tengah
papua_tengah,2024,2054.450094191523,73.22548532456216,27.59008346795908,34.69999999999999,18.886747442110934,23.238415455035007,Papua Tengah
papua_tengah,2025,2030.276656200942,53.87295922458233,26.55114431879376,34.099999999999994,18.154499192245563,22.352821755519663,Papua Tengah
riau,2021,1307.7047730047732,60.5767382877002,31.784554375092224,33.69999999999999,22.957984727755647,27.371269551423936,Riau
riau,2022,1439.0194805194806,54.86373154240814,31.692386011509512,33.69999999999999,22.839431164231964,27.26590858787074,Riau
riau,2023,1422.4806304806305,68.99728224038627,31.91388519994098,34.099999999999994,23.176595469971968,27.545240334956475,Riau
riau,2024,1663.776701076701,115.28856423364505,32.29291353106094,34.099999999999994,23.603059982293058,27.947986756676997,Riau
riau,2025,1515.8316683316682,120.33430614981782,31.990049063007234,35.900000000000006,23.053301608381293,27.521675335694262,Riau
sulawesi_barat,2021,541.411541889483,77.54057154637125,28.9117774024024,33.900000000000006,20.530921546546548,24.721349474474472,Sulawesi Barat
sulawesi_barat,2022,521.1716354723708,49.65924721661175,28.872888513513512,33.69999999999999,20.43925487987988,24.656071696696696,Sulawesi Barat
sulawesi_barat,2023,406.1873663101605,67.35113030223063,29.43068693693694,35.69999999999999,20.87056118618619,25.150624061561565,Sulawesi Barat
sulawesi_barat,2024,520.7456327985741,77.61813619459927,29.32898836336336,34.900000000000006,21.201510885885888,25.265249624624623,Sulawesi Barat
sulawesi_barat,2025,506.62052139037434,91.34030760091103,28.99534534534535,34.30000000000001,20.766544669669678,24.880945007507513,Sulawesi Barat
